Date,"1000-1999","2000-2999","3000-3999","4000-4999","5000-5999","6000-6999","7000-7999","8000-8999","9000-9999","10000-10999","11000-11999","12000-12999"
2021-10-01,556.791,634.941,711.401,790.526,873.971,954.326,1005.56,987.074,983.867,1028.44,1015.73,1016.33
2021-10-02,556.464,634.613,711.065,790.169,873.609,953.97,1005.2,986.697,983.492,1028.06,1015.33,1015.92
2021-10-03,555.941,633.896,710.242,789.359,872.78,953.083,1004.26,985.802,982.595,1027.09,1014.43,1015
2021-10-04,555.75,633.647,709.918,788.965,872.303,952.521,1003.65,985.215,982.026,1026.48,1013.89,1014.46
2021-10-05,555.172,632.905,709.027,787.978,871.2,951.317,1002.39,983.994,980.848,1025.27,1012.74,1013.3
2021-10-06,554.134,631.687,707.616,786.428,869.477,949.375,1000.34,982.235,979.188,1023.5,1011.13,1011.68
2021-10-07,552.869,630.114,705.769,784.409,867.287,947.068,997.931,979.698,976.705,1020.97,1008.64,1009.24
2021-10-08,552.448,629.64,705.251,783.847,866.661,946.397,997.235,978.964,975.978,1020.22,1007.86,1008.48
2021-10-09,552.31,629.432,705.012,783.635,866.471,946.239,997.088,978.796,975.814,1020.06,1007.67,1008.28
2021-10-10,552.082,629.22,704.811,783.427,866.233,945.958,996.758,978.472,975.475,1019.68,1007.37,1008.02
2021-10-11,551.654,628.716,704.211,782.749,865.451,945.063,995.801,977.64,974.702,1018.85,1006.61,1007.25
2021-10-12,550.27,627.088,702.392,780.811,863.397,942.953,993.662,975.565,972.719,1016.83,1004.62,1005.27
2021-10-13,549.669,626.332,701.532,779.902,862.452,942.032,992.74,974.534,971.726,1015.84,1003.55,1004.18
2021-10-14,549.459,626.112,701.308,779.636,862.154,941.72,992.414,974.152,971.345,1015.48,1003.14,1003.77
2021-10-15,547.473,623.683,698.426,776.429,858.542,937.704,988.138,970.024,967.352,1011.31,999.18,999.817
2021-10-16,547.315,623.514,698.253,776.248,858.362,937.53,987.963,969.831,967.162,1011.12,998.99,999.616
2021-10-17,547.047,623.209,697.914,775.883,857.976,937.135,987.553,969.398,966.73,1010.68,998.555,999.184
2021-10-18,545.857,621.845,696.397,774.254,856.179,935.179,985.517,967.48,964.925,1008.84,996.837,997.475
2021-10-19,545.08,620.98,695.47,773.28,855.137,934.066,984.337,966.307,963.779,1007.64,995.761,996.425
2021-10-20,544.764,620.598,695.019,772.791,854.62,933.528,983.787,965.74,963.206,1007.06,995.2,995.874
2021-10-21,544.165,619.811,694.036,771.68,853.345,932.07,982.223,964.321,961.855,1005.64,993.896,994.588
2021-10-22,543.949,619.518,693.666,771.24,852.822,931.457,981.559,963.701,961.266,1005.04,993.343,994.054
2021-10-23,543.216,618.697,692.796,770.383,851.962,930.591,980.684,962.868,960.419,1004.12,992.445,993.115
2021-10-24,542.807,618.198,692.234,769.773,851.29,929.846,979.885,962.053,959.611,1003.26,991.618,992.292
2021-10-25,542.649,617.991,692.002,769.548,851.058,929.611,979.646,961.835,959.402,1003.03,991.416,992.089
2021-10-26,541.6,616.765,690.588,768.002,849.3,927.593,977.479,959.921,957.516,1000.91,989.527,990.189
2021-10-27,539.193,614.112,687.706,764.979,846.021,923.985,973.599,956.182,953.721,996.809,985.827,986.588
2021-10-28,537.062,611.506,684.678,761.681,842.514,920.369,969.879,952.355,950.014,993.12,982.019,982.76
2021-10-29,536.216,610.53,683.565,760.448,841.165,918.871,968.287,950.889,948.587,991.62,980.691,981.451
2021-10-30,534.283,608.261,681.081,757.867,838.356,915.722,964.964,948.1,945.932,988.768,978.17,978.918
2021-10-31,530.518,604.023,676.463,753.037,833.222,910.217,959.257,942.864,940.853,983.407,973.155,973.867
2021-11-01,528.184,601.199,673.178,749.38,829.181,905.817,954.577,938.094,936.241,978.7,968.546,969.269
2021-11-02,526.993,599.843,671.699,747.77,827.461,904.024,952.714,936.137,934.286,976.72,966.55,967.284
2021-11-03,525.601,598.271,669.96,745.865,825.362,901.718,950.264,933.742,931.928,974.261,964.133,964.908
2021-11-04,524.679,597.263,668.849,744.639,824.016,900.285,948.762,932.196,930.381,972.66,962.484,963.277
2021-11-05,524.004,596.52,668.036,743.744,823.054,899.277,947.721,931.13,929.332,971.607,961.399,962.2
2021-11-06,523.747,596.223,667.699,743.349,822.597,898.77,947.177,930.561,928.77,971.044,960.796,961.608
2021-11-07,523.507,595.929,667.349,742.949,822.142,898.265,946.642,930.061,928.276,970.519,960.238,961.044
2021-11-08,523.098,595.404,666.643,742.061,821.107,897.09,945.402,928.993,927.258,969.463,959.197,960.024
2021-11-09,520.284,592.342,663.405,738.717,817.507,893.116,941.216,925.287,923.566,965.372,955.406,956.29
2021-11-10,516.672,587.866,658.129,732.722,810.702,885.583,933.083,916.671,914.708,956.059,946.005,947.211
2021-11-11,515.104,586.05,656.029,730.382,808.152,882.849,930.196,913.701,911.687,952.956,942.881,944.172
2021-11-12,511.606,582.299,652.123,726.364,803.892,878.259,925.394,909.21,907.185,948.099,938.14,939.443
2021-11-13,509.771,580.375,650.102,724.156,801.499,875.73,922.73,906.339,904.292,945.166,935.07,936.43
2021-11-14,508.045,578.324,647.827,721.737,798.907,872.969,919.832,903.483,901.443,942.14,932.056,933.432
2021-11-15,505.937,575.888,645.124,718.813,795.64,869.265,915.852,899.813,897.782,938.174,928.238,929.65
2021-11-16,505.467,575.292,644.369,717.864,794.531,868.081,914.588,898.326,896.269,936.677,926.583,928.018
2021-11-17,504.508,574.221,643.216,716.64,793.217,866.691,913.143,896.845,894.793,935.149,925.075,926.545
2021-11-18,502.365,571.855,640.711,714.05,790.404,863.569,909.866,893.974,891.972,932.029,922.235,923.748
2021-11-19,499.01,567.742,635.912,708.603,784.247,856.8,902.63,886.565,884.516,924.243,914.258,915.859
2021-11-20,497.1,565.666,633.719,706.326,781.821,854.207,899.931,884.009,881.988,921.577,911.623,913.225
2021-11-21,495.387,563.618,631.387,703.775,779.029,851.209,896.77,880.788,878.772,918.261,908.363,910.043
2021-11-22,492.163,560.174,627.824,700.08,775.154,847.156,892.569,876.545,874.525,913.888,903.902,905.62
2021-11-23,489.833,557.43,624.697,696.591,771.324,843.047,888.243,872.142,870.125,909.354,899.325,901.119
2021-11-24,489.181,556.553,623.566,695.191,769.706,841.262,886.305,870.003,867.964,907.185,897.073,898.948
2021-11-25,487.859,555.072,621.928,693.367,767.671,838.99,883.873,867.67,865.621,904.669,894.589,896.489
2021-11-26,483.831,550.333,616.487,687.273,760.784,831.232,875.523,859.61,857.543,896.043,886.285,888.325
2021-11-27,481.667,547.793,613.617,684.147,757.375,827.57,871.671,855.808,853.694,891.955,882.097,884.181
2021-11-28,478.93,544.618,610.074,680.316,753.258,823.23,867.131,851.046,848.863,886.934,877.003,879.172
2021-11-29,475.499,540.71,605.766,675.596,748.06,817.53,861.085,845.084,842.959,880.835,871.06,873.373
2021-11-30,472.991,537.874,602.621,672.167,744.283,813.373,856.686,840.833,838.756,876.4,866.768,869.167
2021-12-01,468.929,533.29,597.558,666.67,738.266,806.829,849.813,834.159,832.12,869.506,860.057,862.549
2021-12-02,466.766,530.731,594.584,663.303,734.517,802.707,845.432,829.786,827.734,864.953,855.466,857.834
2021-12-03,465.09,528.842,592.502,661.035,732.019,799.864,842.342,826.971,824.923,861.911,852.555,854.799
2021-12-04,462.356,525.562,588.571,656.483,726.807,794.002,836.077,820.804,818.747,855.457,846.197,848.35
2021-12-05,460.906,523.772,586.365,653.864,723.734,790.508,832.282,816.812,814.686,851.262,842.018,844.137
2021-12-06,459.649,522.381,584.826,652.135,721.876,788.534,830.208,814.649,812.509,849.108,839.797,841.848
2021-12-07,457.515,520.055,582.283,649.338,718.773,785.077,826.522,811.143,809.033,845.432,836.182,838.127
2021-12-08,454.596,516.734,578.535,645.235,714.283,780.119,821.249,806.065,803.945,840.065,831.045,832.869
2021-12-09,451.101,512.809,574.169,640.427,709.032,774.453,815.275,800.047,797.906,833.832,824.639,826.269
2021-12-10,450.117,511.689,572.892,638.991,707.501,772.877,813.646,798.295,796.153,832.111,822.748,824.337
2021-12-11,447.486,508.72,569.579,635.344,703.502,768.443,808.903,793.762,791.62,827.359,818.26,819.851
2021-12-12,444.52,505.386,565.832,631.207,698.941,763.442,803.618,788.678,786.618,822.229,813.351,814.942
2021-12-13,440.925,501.285,561.153,625.945,693.121,757.093,796.89,781.92,779.817,815.189,806.221,807.608
2021-12-14,436.934,496.692,555.903,620.079,686.674,750.065,789.481,774.608,772.564,807.775,798.868,800.107
2021-12-15,434.453,493.968,552.878,616.719,682.998,746.017,785.163,770.314,768.206,803.269,794.54,795.766
2021-12-16,432.058,491.311,549.924,613.433,679.324,741.903,780.732,765.903,763.705,798.49,789.917,791.131
2021-12-17,428.492,487.4,545.643,608.703,674.155,736.298,774.833,760.025,757.787,792.37,783.832,784.957
2021-12-18,426.559,485.188,543.149,605.937,671.145,733.038,771.362,756.399,754.051,788.493,779.864,780.921
2021-12-19,424.1,482.323,539.806,602.168,666.974,728.458,766.486,751.517,749.106,783.325,774.671,775.633
2021-12-20,419.958,477.578,534.358,596.017,660.085,720.838,758.359,743.294,740.785,774.633,765.861,766.526
2021-12-21,416.506,473.727,530.026,591.214,654.806,715.043,752.205,737.207,734.585,768.091,759.159,759.498
2021-12-22,414.36,471.242,527.215,588.087,651.289,711.07,747.916,733.077,730.401,763.573,754.542,754.644
2021-12-23,410.389,466.775,522.213,582.593,645.258,704.406,740.885,726.533,723.887,756.677,747.853,747.73
2021-12-24,406.049,461.764,516.431,576.025,637.896,696.224,732.123,717.76,715.016,747.419,738.714,738.391
2021-12-25,401.67,456.864,510.898,569.775,630.967,688.688,724.121,709.248,706.281,738.483,729.733,729.385
2021-12-26,396.63,451.237,504.68,563.014,623.519,680.443,715.355,700.789,697.769,729.479,720.928,720.458
2021-12-27,393.134,447.165,499.991,557.721,617.624,673.955,708.432,693.709,690.526,721.935,713.502,712.983
2021-12-28,390.898,444.595,497.147,554.634,614.245,670.22,704.442,689.823,686.641,717.82,709.478,708.833
2021-12-29,388.951,442.456,494.736,551.899,611.244,667.01,701.05,686.136,682.845,714.006,705.53,704.842
2021-12-30,385.277,438.366,490.211,547.003,605.844,660.998,694.665,680.265,676.968,707.596,699.231,698.282
2021-12-31,380.849,433.311,484.547,540.774,599.03,653.56,686.777,672.471,669.048,699.347,690.984,689.817
2022-01-01,379.044,431.191,482.144,538.108,596.116,650.4,683.404,669.072,665.628,695.822,687.259,685.874
2022-01-02,376.597,428.383,479,534.565,592.18,646.159,678.961,664.555,661.077,691.142,682.444,681.089
2022-01-03,371.779,423.1,473.308,528.45,585.533,638.928,671.374,657.26,653.758,683.412,674.872,673.567
2022-01-04,367.107,417.777,467.312,521.696,578.101,630.915,662.972,648.898,645.381,674.854,666.455,665.304
2022-01-05,364.37,414.748,464.009,518.09,574.159,626.683,658.586,644.751,641.252,670.511,662.199,661.067
2022-01-06,355.132,404.476,452.873,506.022,561.012,612.414,643.704,630.661,627.335,656.033,648.387,647.409
2022-01-07,349.959,398.526,446.033,498.1,552.174,602.99,633.834,620.209,616.739,645.26,637.318,636.447
2022-01-08,347.201,395.429,442.595,494.272,547.919,598.344,628.958,615.489,612.05,640.327,632.495,631.66
2022-01-09,342.909,390.523,436.953,487.805,540.803,590.81,621.14,607.444,603.913,632.099,624.142,623.422
2022-01-10,340.147,387.303,433.224,483.565,536.07,585.666,615.798,602.291,598.761,626.672,618.847,618.231
2022-01-11,337.522,384.478,430.165,480.156,532.275,581.486,611.422,598.173,594.668,622.396,614.812,614.271
2022-01-12,333.802,380.24,425.386,474.783,526.276,574.904,604.558,591.678,588.233,615.69,608.428,607.977
2022-01-13,332.517,378.719,423.622,472.73,524.003,572.523,602.104,589.089,585.617,613.026,605.714,605.293
2022-01-14,329.628,375.543,420.182,468.986,519.91,568.085,597.455,584.694,581.265,608.411,601.24,600.852
2022-01-15,328.251,373.881,418.231,466.747,517.443,565.427,594.651,581.877,578.406,605.429,598.194,597.81
2022-01-16,326.323,371.76,415.969,464.33,514.807,562.55,591.641,579.111,575.667,602.532,595.498,595.16
2022-01-17,324.277,369.461,413.377,461.374,511.553,559.06,588.004,575.539,572.118,598.879,591.933,591.608
2022-01-18,320.91,365.645,409.072,456.511,506.136,553.084,581.685,569.511,566.095,592.554,585.706,585.423
2022-01-19,318.542,362.821,405.741,452.638,501.838,548.465,576.817,564.559,561.166,587.492,580.695,580.453
2022-01-20,315.15,359.094,401.701,448.197,496.948,543.12,571.214,559.28,555.938,581.971,575.353,575.104
2022-01-21,311.766,355.293,397.55,443.663,492.053,537.948,565.85,553.885,550.512,576.368,569.716,569.456
2022-01-22,307.075,349.973,391.635,437.158,484.904,530.162,557.683,546.035,542.671,568.153,561.713,561.472
2022-01-23,304.439,346.934,388.196,433.287,480.58,525.459,552.732,541.016,537.59,562.916,556.417,556.234
2022-01-24,299.724,341.662,382.434,427.003,473.612,517.714,544.566,533.508,530.189,555.045,549.187,549.142
2022-01-25,294.52,335.902,376.063,419.911,465.871,509.462,535.964,524.935,521.596,546.261,540.408,540.432
2022-01-26,289.859,330.815,370.566,413.924,459.318,502.364,528.509,517.676,514.331,538.698,533.062,533.174
2022-01-27,286.359,326.816,366.061,408.849,453.718,496.416,522.303,511.28,507.877,532.058,526.33,526.542
2022-01-28,283.659,323.865,362.875,405.362,449.93,492.378,518.095,507.078,503.639,527.643,521.972,522.225
2022-01-29,280.791,320.661,359.408,401.615,445.789,487.861,513.364,502.499,499.039,522.742,517.123,517.368
2022-01-30,278.078,317.602,356.041,397.941,441.872,483.751,509.082,498.202,494.718,518.345,512.7,512.983
2022-01-31,276.535,315.864,354.133,395.847,439.597,481.324,506.542,495.574,492.056,515.568,510.016,510.343
2022-02-01,273.968,312.951,350.873,392.195,435.558,476.966,501.944,490.88,487.317,510.599,505.009,505.368
2022-02-02,271.996,310.751,348.462,389.483,432.512,473.621,498.428,487.376,483.837,507.015,501.338,501.724
2022-02-03,270.935,309.517,347.049,387.851,430.652,471.535,496.2,485.209,481.697,504.788,499.276,499.71
2022-02-04,267.879,306.134,343.371,383.829,426.261,466.748,491.177,480.392,476.936,499.884,494.614,495.103
2022-02-05,264.658,302.622,339.655,379.834,421.94,462.076,486.304,475.688,472.226,494.936,489.764,490.256
2022-02-06,262.495,300.071,336.677,376.296,417.826,457.437,481.322,470.686,467.25,489.76,484.715,485.271
2022-02-07,261.145,298.532,334.968,374.341,415.677,455.137,478.916,468.162,464.703,487.181,482.105,482.656
2022-02-08,256.648,293.6,329.704,368.657,409.492,448.417,471.888,461.423,458.026,480.204,475.426,475.963
2022-02-09,252.027,288.382,323.956,362.25,402.445,440.72,463.797,453.534,450.173,472.136,467.572,468.171
2022-02-10,247.693,283.592,318.849,356.69,396.354,434.05,456.775,446.774,443.494,465.145,460.828,461.431
2022-02-11,244.748,280.339,315.36,352.882,392.199,429.563,452.089,442.182,438.934,460.395,456.163,456.75
2022-02-12,241.136,276.238,310.8,347.767,386.558,423.41,445.591,435.689,432.401,453.599,449.284,449.783
