Date,"0-999","1000-1999","2000-2999","3000-3999","4000-4999","5000-5999","6000-6999","7000-7999","8000-8999","9000-9999","10000-10999"
2021-10-01,857.581,985.494,1089.18,1148.12,1209.23,1247.44,1378.69,1643.74,1919.07,2123.13,2208.7
2021-10-02,857.362,985.176,1088.79,1147.7,1208.75,1246.91,1378.06,1642.91,1917.91,2121.77,2207.26
2021-10-03,857.053,984.644,1088.13,1147,1207.94,1245.99,1377.01,1641.66,1916.35,2119.95,2205.33
2021-10-04,856.777,984.374,1087.82,1146.65,1207.52,1245.51,1376.41,1640.76,1915.07,2118.46,2203.74
2021-10-05,855.883,983.09,1086.28,1144.98,1205.69,1243.5,1373.95,1637.55,1911.29,2114.48,2199.66
2021-10-06,854.646,981.486,1084.43,1143.09,1203.6,1241.18,1371.31,1634.26,1907.1,2109.84,2194.8
2021-10-07,854.321,981.075,1083.93,1142.57,1203.03,1240.55,1370.58,1633.26,1905.76,2108.29,2193.16
2021-10-08,853.504,980.062,1082.66,1141.27,1201.5,1238.78,1368.37,1630.23,1901.57,2103.44,2188.03
2021-10-09,853.425,979.957,1082.53,1141.11,1201.33,1238.59,1368.15,1629.95,1901.2,2103.04,2187.6
2021-10-10,852.652,979.074,1081.43,1139.91,1199.88,1236.96,1366.24,1627.57,1898.35,2099.74,2184.11
2021-10-11,851.409,977.658,1079.79,1138.18,1198.07,1235.06,1364.24,1625.32,1895.76,2096.87,2181.13
2021-10-12,849.634,975.596,1077.41,1135.76,1195.27,1231.71,1359.92,1619.37,1887.76,2087.77,2171.56
2021-10-13,849.379,975.299,1077.06,1135.39,1194.87,1231.26,1359.39,1618.7,1886.85,2086.66,2170.36
2021-10-14,848.797,974.724,1076.39,1134.7,1194.17,1230.55,1358.64,1617.78,1885.71,2085.36,2169
2021-10-15,846.776,972.171,1073.36,1131.62,1191.08,1227.39,1354.86,1612.79,1879.51,2078.62,2162
2021-10-16,845.771,970.937,1071.87,1130.08,1189.39,1225.49,1352.63,1610.02,1876.13,2074.87,2158.09
2021-10-17,845.062,969.896,1070.5,1128.61,1187.71,1223.59,1350.23,1606.82,1872.04,2070.24,2153.24
2021-10-18,844.278,968.794,1069.15,1127.17,1186.03,1221.71,1347.93,1603.82,1868.26,2066.01,2148.8
2021-10-19,843.649,967.92,1068.05,1125.98,1184.58,1220,1345.88,1601.28,1865.05,2062.49,2145.16
2021-10-20,842.566,966.606,1066.46,1124.3,1182.87,1218.23,1343.91,1598.86,1862.22,2059.25,2141.76
2021-10-21,840.495,964.229,1063.6,1121.31,1179.67,1214.94,1340.17,1594.21,1856.65,2053.14,2135.42
2021-10-22,838.258,961.977,1061.13,1118.81,1177.04,1212.16,1336.94,1590.1,1851.38,2047.04,2128.98
2021-10-23,836.228,959.493,1058.15,1115.64,1173.65,1208.59,1332.53,1584.3,1844.38,2039.42,2121.09
2021-10-24,833.732,956.388,1054.46,1111.76,1169.28,1203.58,1326.21,1575.94,1834,2028.1,2109.35
2021-10-25,829.22,951.39,1048.94,1105.99,1163.23,1197.34,1319.53,1568.12,1825.08,2018.23,2099.09
2021-10-26,825.149,946.871,1043.83,1100.63,1156.89,1189.75,1309.91,1555.78,1809.82,2001.78,2082.1
2021-10-27,822.324,943.399,1039.85,1096.46,1152.36,1184.54,1303.23,1546.88,1798.81,1989.83,2069.71
2021-10-28,821.327,942.058,1038.22,1094.74,1150.54,1182.7,1301.21,1544.32,1795.45,1985.89,2065.52
2021-10-29,818.566,938.394,1033.85,1090.12,1145.48,1177.24,1294.71,1535.78,1784.7,1973.76,2052.79
2021-10-30,815.517,934.902,1029.81,1085.91,1140.84,1172.2,1288.57,1527.55,1774.3,1962.13,2040.62
2021-10-31,812.457,931.185,1025.48,1081.39,1136.04,1167.26,1282.95,1520.44,1765.39,1951.96,2029.92
2021-11-01,810.475,928.646,1022.49,1078.2,1132.58,1163.53,1278.45,1514.52,1757.97,1943.5,2020.99
2021-11-02,808.154,925.969,1019.3,1074.65,1128.7,1159.47,1273.86,1508.96,1751.37,1936.07,2013.22
2021-11-03,806.277,923.476,1016.21,1071.22,1124.91,1155.45,1269.14,1503,1744.05,1927.91,2004.71
2021-11-04,804.36,921.356,1013.72,1068.53,1122.07,1152.58,1265.96,1499.13,1739.34,1922.58,1999.11
2021-11-05,803.25,919.663,1011.64,1066.24,1119.54,1149.87,1262.71,1494.93,1734.11,1916.81,1993.11
2021-11-06,802.653,918.929,1010.86,1065.41,1118.62,1148.84,1261.55,1493.54,1732.51,1915.04,1991.26
2021-11-07,801.531,917.594,1009.28,1063.62,1116.64,1146.78,1259.27,1490.8,1729.39,1911.57,1987.66
2021-11-08,799.526,915.103,1006.32,1060.41,1113.32,1143.48,1255.62,1486.26,1723.91,1905.45,1981.27
2021-11-09,795.606,910.532,1001.1,1054.78,1107.22,1136.87,1247.83,1476.8,1712.77,1893.64,1969.13
2021-11-10,791.472,906.165,996.318,1049.72,1101.68,1130.86,1240.88,1468.46,1703.2,1883.4,1958.57
2021-11-11,786.224,900.71,990.319,1043.34,1094.87,1123.7,1232.72,1458.47,1691.41,1870.53,1945.25
2021-11-12,782.257,896.562,985.851,1038.61,1089.74,1118.1,1226.05,1450.19,1681.56,1859.83,1934.16
2021-11-13,779.796,893.622,982.384,1034.81,1085.72,1114,1221.29,1444.2,1674.42,1852.02,1926.05
2021-11-14,776.23,889.553,977.875,1029.95,1080.63,1108.78,1215.45,1437.01,1666.12,1842.86,1916.5
2021-11-15,773.501,886.073,973.918,1025.68,1075.86,1103.56,1209.2,1429.13,1656.53,1832.3,1905.52
2021-11-16,771.709,884.165,971.849,1023.47,1073.58,1101.3,1206.63,1425.99,1652.9,1828.35,1901.42
2021-11-17,766.589,878.44,965.287,1016.45,1065.97,1093.22,1197,1414.18,1639.03,1813.7,1886.42
2021-11-18,761.349,873.093,959.379,1010.17,1059.2,1085.98,1188.5,1403.66,1626.54,1800.01,1872.2
2021-11-19,758.129,869.085,954.896,1005.4,1053.83,1079.93,1181.33,1394.84,1616.12,1788.66,1860.43
2021-11-20,754.98,865.78,951.098,1001.28,1049.67,1075.92,1177.03,1389.83,1610.53,1782.67,1854.26
2021-11-21,750.336,860.679,945.543,995.448,1043.58,1069.54,1169.81,1381.2,1600.43,1771.59,1842.76
2021-11-22,745.835,855.641,939.941,989.451,1037.01,1062.53,1161.7,1371.23,1588.58,1758.39,1829.01
2021-11-23,741.028,850.363,934.082,983.18,1030.37,1055.64,1153.9,1361.68,1577.45,1746.1,1816.21
2021-11-24,736.794,845.123,928.155,976.87,1023.54,1048.34,1145.27,1350.89,1564.62,1732.1,1801.69
2021-11-25,731.97,839.718,922.24,970.623,1016.82,1041.09,1136.73,1340.19,1551.71,1718.11,1787.21
2021-11-26,729.584,836.894,919.107,967.234,1013.03,1036.83,1131.81,1334.24,1544.81,1710.63,1779.46
2021-11-27,727.052,834.237,916.222,964.15,1009.49,1032.91,1127.44,1329.27,1539.13,1704.48,1773.12
2021-11-28,723.005,829.829,911.376,959.027,1004.17,1027.53,1121.55,1322.44,1531.41,1695.86,1764.13
2021-11-29,719.212,825.929,907.238,954.704,999.64,1022.92,1116.52,1316.55,1524.54,1688.32,1756.33
2021-11-30,713.136,819.208,899.866,947.015,991.889,1015.24,1108.15,1306.56,1513.14,1675.84,1743.38
2021-12-01,706.616,812.348,892.16,938.914,983.422,1006.52,1098.26,1294.66,1499.31,1660.92,1727.99
2021-12-02,702.623,807.193,886.137,932.486,976.796,999.786,1090.8,1285.41,1488.3,1648.26,1714.64
2021-12-03,697.254,800.151,877.928,923.824,967.849,990.542,1080.2,1271.99,1471.98,1629.84,1695.35
2021-12-04,693.163,795.223,872.31,917.918,961.518,983.743,1072.27,1261.9,1459.57,1615.81,1680.62
2021-12-05,689.264,790.849,867.481,912.922,956.245,978.23,1066.37,1255.19,1451.92,1607.5,1672.03
2021-12-06,685.486,786.355,862.52,907.731,950.868,972.768,1060.56,1248.28,1443.95,1598.38,1662.44
2021-12-07,680.497,781.058,856.619,901.52,944.476,966.372,1053.77,1240.25,1434.86,1587.99,1651.52
2021-12-08,674.273,774.02,848.759,893.347,936.15,958.112,1044.92,1229.46,1421.97,1573.19,1635.95
2021-12-09,668.965,767.733,841.616,885.87,928.733,950.958,1037.45,1220.6,1411.8,1561.61,1623.79
2021-12-10,663.622,761.724,834.994,878.979,921.741,944.113,1030.04,1211.41,1400.84,1548.91,1610.4
2021-12-11,657.007,754.156,826.361,870.019,912.47,934.643,1019.35,1197.86,1384.15,1529.89,1590.44
2021-12-12,651.44,748.029,819.803,863.261,905.326,927.141,1010.83,1187.36,1371.47,1515.61,1575.46
2021-12-13,644.201,740.07,811.148,854.295,896.025,917.535,999.933,1174.03,1355.8,1498.08,1557.16
2021-12-14,639.13,734.617,805.271,848.191,889.575,910.836,992.555,1165.06,1344.94,1485.7,1544.18
2021-12-15,630.862,725.046,794.492,836.956,877.815,898.588,978.99,1148.81,1325.84,1464.39,1521.98
2021-12-16,624.687,718.32,787.066,829.209,869.999,890.909,970.918,1139.31,1314.95,1452,1508.98
2021-12-17,618.224,710.831,778.842,820.66,861.309,882.021,961.062,1127.29,1300.66,1435.84,1492.05
2021-12-18,613.831,705.612,773.068,814.661,855.005,875.442,953.621,1118.05,1289.5,1423.18,1478.77
2021-12-19,611.195,702.781,769.933,811.391,851.523,871.808,949.529,1112.96,1283.25,1415.95,1471.14
2021-12-20,605.663,696.627,763.132,804.311,844.245,864.488,941.608,1103.42,1271.89,1402.97,1457.49
2021-12-21,600.572,690.858,756.823,797.757,837.534,857.767,934.361,1094.64,1261.54,1391.01,1444.89
2021-12-22,594.544,684.003,749.172,789.789,829.459,849.664,925.567,1083.81,1248.59,1376.14,1429.22
2021-12-23,589.286,677.678,742.017,782.257,821.374,841.076,915.771,1071.56,1233.58,1359.01,1411.19
2021-12-24,585.782,673.334,737.273,777.336,816.155,835.6,909.742,1064.19,1224.67,1348.8,1400.46
2021-12-25,581.605,668.836,732.344,772.25,810.799,830.006,903.589,1056.86,1216.11,1339.19,1390.42
2021-12-26,577.892,665.156,728.485,768.262,806.454,825.297,898.302,1050.65,1208.82,1331.19,1382.1
2021-12-27,574.4,661.397,724.299,763.881,801.83,820.539,893.035,1044.13,1200.74,1321.96,1372.39
2021-12-28,568.822,655.641,718.047,757.396,795.231,813.956,886.012,1035.72,1190.79,1310.55,1360.41
2021-12-29,563.025,648.938,710.811,749.846,787.716,806.634,878.219,1026.2,1179.66,1297.75,1346.94
2021-12-30,556.695,641.82,703.137,741.867,779.514,798.349,869.078,1014.71,1165.5,1281.31,1329.56
2021-12-31,551.061,635.963,696.689,735.122,772.505,791.212,861.298,1005.26,1154.29,1268.28,1315.81
2022-01-01,545.062,628.751,688.506,726.566,763.641,782.111,851.048,992.464,1138.96,1250.91,1297.61
2022-01-02,540.589,623.482,682.55,720.1,756.447,774.606,842.855,982.785,1127.92,1238.44,1284.56
2022-01-03,536.286,618.142,676.527,713.676,749.651,767.633,835.367,973.975,1117.77,1226.96,1272.51
2022-01-04,533.597,615.068,673.159,710.041,745.698,763.59,831.041,968.848,1111.88,1220.46,1265.74
2022-01-05,526.365,607.407,665.158,701.691,737.207,755.302,822.602,959.32,1101.7,1209.33,1254.24
2022-01-06,521.121,601.892,659.299,695.569,730.794,748.85,815.741,951.217,1092.44,1199.12,1243.63
2022-01-07,518.175,598.787,656.057,692.115,727.07,745.082,811.876,946.861,1087.7,1193.76,1238.02
2022-01-08,511.788,592.458,649.564,685.356,720.264,738.489,805.187,939.03,1078.8,1183.79,1227.63
2022-01-09,506.215,586.605,643.403,678.912,713.558,731.874,798.194,930.706,1069.21,1173.13,1216.54
2022-01-10,498.635,578.368,634.529,669.572,703.851,722.089,787.726,918.367,1055.17,1157.74,1200.6
2022-01-11,493.98,573.373,629.107,663.803,697.475,715.307,780.089,909.009,1044.06,1145.5,1187.89
2022-01-12,489.136,568.187,623.491,657.823,691.064,708.719,772.853,900.228,1033.81,1134.05,1175.94
2022-01-13,486.263,564.81,619.729,653.819,686.859,704.527,768.534,895.276,1028.31,1127.94,1169.57
2022-01-14,480.786,558.565,612.958,646.724,679.499,697.245,760.763,886.188,1017.94,1116.47,1157.67
2022-01-15,476.432,553.893,607.855,641.283,673.672,691.295,754.24,878.25,1008.64,1106.1,1146.88
2022-01-16,471.483,548.928,602.581,635.825,667.953,685.54,748.216,871.225,1000.56,1097.08,1137.48
2022-01-17,466.157,543.362,596.574,629.501,661.466,679.138,741.659,863.793,992.405,1088.01,1128.05
2022-01-18,461.385,538.081,590.854,623.434,654.962,672.411,734.242,854.881,982.153,1076.45,1115.96
2022-01-19,457.699,533.566,585.808,618.002,649.108,666.402,727.9,847.59,973.974,1067.25,1106.35
2022-01-20,451.651,526.974,578.454,610.243,640.966,658.224,719.32,837.594,962.556,1054.37,1092.88
2022-01-21,445.861,520.727,571.624,602.986,633.658,651.262,712.347,829.559,953.669,1044.13,1082.1
2022-01-22,440.107,514.488,564.782,595.743,625.681,642.854,703.234,818.847,941.483,1030.48,1067.86
2022-01-23,435.105,509.457,559.427,590.143,619.777,636.892,696.986,811.529,933.006,1020.89,1057.85
2022-01-24,428.629,502.662,552.2,582.656,611.957,629.089,688.799,801.843,921.743,1008.27,1044.68
2022-01-25,422.55,495.914,545.151,575.354,604.428,621.618,681.064,792.947,911.736,997.097,1033.03
2022-01-26,417.734,490.572,539.536,569.412,598.134,615.217,674.331,785.208,903.099,987.519,1023.08
2022-01-27,410.019,482.611,531.126,560.629,589.025,606.091,664.806,774.252,890.696,973.727,1008.72
2022-01-28,404.727,477.121,525.34,554.565,582.694,599.746,657.967,765.935,880.775,962.579,997.071
2022-01-29,400.557,472.458,520.263,549.226,577.133,594.177,652.151,759.194,873.131,954.104,988.262
2022-01-30,397.493,469.244,516.882,545.644,573.383,590.485,648.316,754.602,867.843,948.146,982.016
2022-01-31,392.863,464.603,511.882,540.358,567.746,584.672,642.088,747.244,859.388,938.745,972.227
2022-02-01,390.626,461.997,509.122,537.447,564.653,581.562,638.782,743.271,854.648,933.319,966.506
2022-02-02,387.19,458.323,505.165,533.218,560.334,577.378,634.525,738.499,849.375,927.265,960.141
2022-02-03,381.943,452.948,499.548,527.346,554.29,571.291,628.282,731.688,842.144,919.303,951.914
2022-02-04,376.206,446.624,492.987,520.564,547.357,564.333,620.984,723.502,832.825,909.015,941.222
2022-02-05,372.833,443.004,489.006,516.313,542.924,559.863,616.261,718.169,826.856,902.248,934.124
2022-02-06,369.764,439.294,484.929,512.013,538.7,555.881,612.265,713.751,821.942,896.74,928.383
2022-02-07,365.656,434.772,480.015,506.71,533.535,551.178,607.839,709.138,817.408,891.542,922.924
2022-02-08,359.124,427.101,471.791,497.989,524.67,542.414,598.729,698.908,806.082,878.845,909.649
2022-02-09,354.101,421.052,465.095,490.752,517.275,535.18,591.359,690.833,797.492,869.117,899.452
2022-02-10,349.005,415.58,459.325,484.596,510.627,528.144,583.672,682.144,787.635,857.946,887.742
2022-02-11,344.688,410.629,453.918,478.744,504.373,521.573,576.629,674.166,778.539,847.583,876.865
2022-02-12,340.108,405.897,448.913,473.463,498.924,516.172,570.943,667.54,770.849,838.96,867.858
